1,2,3,1,2,3,1,2,3,si
1,2,3,1,2,3,1,2,2,si
1,2,3,1,2,3,1,1,3,si
3,2,2,1,1,3,1,2,3,si
1,2,3,2,3,3,3,3,1,no
1,3,3,2,1,2,3,2,3,si
2,2,1,2,2,3,3,1,3,si
2,1,2,1,2,2,3,1,3,no
3,2,1,1,2,2,3,2,3,si
1,2,1,2,3,1,2,2,3,no
1,2,3,2,2,2,1,2,1,no
3,3,3,3,2,2,1,1,2,no
2,3,1,2,3,3,1,3,3,si
2,2,2,1,1,2,1,2,3,si
3,3,3,3,3,3,3,3,3,no
1,1,1,1,1,1,1,1,1,si
2,2,2,2,2,2,2,2,2,no
1,3,3,3,3,3,3,3,3,si
1,1,1,2,2,2,3,3,3,si
2,2,2,1,1,1,3,2,3,no
3,2,1,1,2,3,2,1,1,si
3,2,2,1,2,3,2,1,1,si
3,2,2,1,2,3,3,1,1,si
3,3,2,2,2,3,3,1,1,no
3,1,2,2,2,3,3,1,1,no
3,1,2,2,2,3,3,1,2,si
3,1,2,3,2,3,3,1,1,si
1,1,2,1,2,3,3,1,1,no
3,1,2,1,2,3,3,1,1,no
3,1,3,1,2,3,3,1,1,no
3,3,2,1,2,3,3,1,1,si
3,3,2,1,2,3,1,1,1,no
3,3,2,1,2,3,4,1,1,no
